Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
Is the person with the highest net worth self-made?,"Considering the person with the highest finalWorth, what is the value of their selfMade attribute?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
highest_worth_person = dataset.loc[dataset[""finalWorth""] == dataset[""finalWorth""].max()]
self_made_value = highest_worth_person[""selfMade""].iloc[0]

return self_made_value
",bool,True,True
Does the youngest billionaire identify as male?,Is the gender of the billionaire with the minimum age value equal to male?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
min_age_individual = dataset.loc[dataset[""age""] == dataset[""age""].min()]
gender = min_age_individual[""gender""].iloc[0]

return gender == ""male""
",bool,False,True
Is the city with the most billionaires in the United States?,Does the city with the highest count of billionaires also have its country attribute equal to United States?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
city_counts = dataset['city'].value_counts()
most_frequent_city = city_counts.idxmax()

country_of_most_frequent_city = dataset[dataset['city'] == most_frequent_city]['country'].iloc[0]

return country_of_most_frequent_city == 'United States'
",bool,True,True
Is there a non-self-made billionaire in the top 5 ranks?,Are there any individuals within the top 5 rankings whose selfMade attribute is False?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
top_5 = dataset.head(5)
has_false_selfmade = top_5['selfMade'].any()

return has_false_selfmade
",bool,True,True
Does the oldest billionaire have a philanthropy score of 5?,Is the philanthropy score of the billionaire with the maximum age equal to 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
max_age_individual = dataset.loc[dataset[""age""] == dataset[""age""].max()]
philanthropy_score = max_age_individual[""philanthropyScore""].iloc[0]

return philanthropy_score == 5
",bool,False,False
What is the age of the youngest billionaire?,What is the minimum value present in the age column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
min_age = dataset[""age""].min()

return min_age
",float64,19.0,19.0
How many billionaires are there from the 'Technology' category?,What is the count of billionaires whose category attribute is equal to 'Technology'?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
technology_billionaires = db[db[""category""] == ""Technology""]
count = len(technology_billionaires)

return count
",int64,343,343
What's the total worth of billionaires in the 'Automotive' category?,Calculate the sum of the finalWorth attribute for all billionaires whose category is 'Automotive'.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
automotive_billionaires = db[db[""category""] == ""Automotive""]
total_worth = automotive_billionaires[""finalWorth""].sum()

return total_worth
",float64,583600,583600
How many billionaires have a philanthropy score above 3?,What is the count of billionaires whose philanthropy score is greater than 3?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
philanthropists = dataset[dataset[""philanthropyScore""] > 3]
count = philanthropists.shape[0]

return count
",int64,25,25
What's the rank of the wealthiest non-self-made billionaire?,What is the rank value for the billionaire who has selfMade attribute set to False and possesses the highest finalWorth?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
not_self_made = dataset[dataset[""selfMade""] == False]
max_worth_individual = not_self_made.loc[not_self_made[""finalWorth""] == not_self_made[""finalWorth""].max()]
rank = max_worth_individual[""rank""].iloc[0]

return rank
",uint16,3,3
