Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
Is the person with the highest net worth self-made?,Does the individual with the greatest final worth have the self made attribute marked as True?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_worth_individual = dataset.loc[dataset[""finalWorth""] == dataset[""finalWorth""].max()]
    is_self_made = max_worth_individual[""selfMade""].bool()
    return is_self_made
",bool,True,True
Does the youngest billionaire identify as male?,Is the gender of the youngest billionaire recorded as male?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    youngest_billionaire = dataset.loc[dataset[""age""] == dataset[""age""].min()]
    is_male = youngest_billionaire[""gender""].iloc[0] == ""male""
    return is_male
",bool,False,True
Is the city with the most billionaires in the United States?,Does the city with the highest count of billionaires belong to the United States?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    city_counts = dataset['city'].value_counts()
    top_city = city_counts.idxmax()
    top_city_country = dataset[dataset['city'] == top_city]['country'].iloc[0]
    is_us = (top_city_country == 'United States')
    
    return is_us
",bool,True,True
Is there a non-self-made billionaire in the top 5 ranks?,"Among the top 5 ranked billionaires, is there at least one individual with selfMade attribute set to False?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_5 = dataset[dataset[""rank""] <= 5]
    has_non_self_made = (top_5[""selfMade""] == False).any()
    
    return has_non_self_made
",bool,True,True
Does the oldest billionaire have a philanthropy score of 5?,Is the philanthropy score of the billionaire with the highest age equal to 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_age_individual = dataset.loc[dataset[""age""] == dataset[""age""].max()]
    philanthropy_score = max_age_individual[""philanthropyScore""].values[0]
    is_equal_to_5 = (philanthropy_score == 5)
    
    return is_equal_to_5
",bool,False,False
What is the age of the youngest billionaire?,What is the minimum age value among all billionaires in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_age = dataset[""age""].min()
    return min_age
",float64,19.0,19.0
How many billionaires are there from the 'Technology' category?,What is the count of billionaires whose category is 'Technology'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    tech_billionaires_count = dataset[dataset['category'] == 'Technology'].shape[0]
    return tech_billionaires_count
",int64,343,343
What's the total worth of billionaires in the 'Automotive' category?,What is the sum of finalWorth for all billionaires whose category is 'Automotive'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    automotive_billionaires = dataset[dataset['category'] == 'Automotive']
    sum_final_worth = automotive_billionaires['finalWorth'].sum()
    
    return sum_final_worth
",float64,583600,583600
How many billionaires have a philanthropy score above 3?,What is the count of billionaires with philanthropy score greater than 3?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    count = len(dataset[dataset[""philanthropyScore""] > 3])
    return count
",int64,25,25
What's the rank of the wealthiest non-self-made billionaire?,What is the rank value of the billionaire with the highest final worth who has self made attribute set to False?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    non_self_made = dataset[dataset[""selfMade""] == False]
    max_worth_non_self_made = non_self_made.loc[non_self_made[""finalWorth""] == non_self_made[""finalWorth""].max()]
    rank_value = max_worth_non_self_made[""rank""].iloc[0]
    
    return rank_value
",uint16,3,3
