Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
Is the person with the highest net worth self-made?,Does the person with the maximum final worth have the selfMade attribute set to True?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_worth_individual = dataset.loc[dataset[""finalWorth""].idxmax()]
    is_self_made = max_worth_individual[""selfMade""]

    return is_self_made",bool,True,True
Does the youngest billionaire identify as male?,,,,ERROR,True
Is the city with the most billionaires in the United States?,What is the city in the United States with the highest number of billionaires?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    us_cities = dataset[dataset['country'] == 'United States']
    city_counts = us_cities['city'].value_counts()
    max_city = city_counts.idxmax()
    
    return max_city",string,New York,True
Is there a non-self-made billionaire in the top 5 ranks?,Are there any billionaires in the top 5 ranks where the selfMade attribute is False?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_5_ranks = dataset.loc[dataset[""rank""] <= 5]
    billionaires = top_5_ranks.loc[top_5_ranks[""finalWorth""] >= 1000000000]
    not_self_made = billionaires.loc[billionaires[""selfMade""] == False]

    return not not_self_made.empty",bool,False,True
Does the oldest billionaire have a philanthropy score of 5?,Is the philanthropy score of the oldest billionaire equal to 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
oldest_billionaire = dataset.loc[dataset[""age""] == dataset[""age""].max()]
philanthropy_score = oldest_billionaire[""philanthropyScore""].values[0]
return philanthropy_score == 5",bool,False,False
What is the age of the youngest billionaire?,What is the minimum age of the billionaires in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_age = dataset[""age""].min()
    return min_age",float64,19.0,19.0
How many billionaires are there from the 'Technology' category?,What is the total count of billionaires in the 'Technology' category?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    tech_billionaires = dataset[dataset['category'] == 'Technology']
    total_count = len(tech_billionaires)

    return total_count",int64,343,343
What's the total worth of billionaires in the 'Automotive' category?,What is the sum of the final worth of billionaires who are classified under the 'Automotive' category?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    automotive_billionaires = dataset[dataset[""category""] == ""Automotive""]
    sum_final_worth = automotive_billionaires[""finalWorth""].sum()

    return sum_final_worth",int64,583600,583600
How many billionaires have a philanthropy score above 3?,What is the count of billionaires with a philanthropy score greater than 3?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    billionaires_with_high_philanthropy = dataset[(dataset[""philanthropyScore""] > 3)]
    count = len(billionaires_with_high_philanthropy)

    return count",int64,25,25
What's the rank of the wealthiest non-self-made billionaire?,What is the rank of the billionaire with the highest final worth who is not self-made?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    not_self_made_individuals = dataset[dataset[""selfMade""] == False]
    max_worth_individual = not_self_made_individuals.loc[not_self_made_individuals[""finalWorth""].idxmax()]
    rank = max_worth_individual[""rank""]
    
    return rank",uint16,3,3
Which category does the richest billionaire belong to?,What is the category of the billionaire with the highest final worth?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_worth_individual = dataset.loc[dataset[""finalWorth""].idxmax()]
    category = max_worth_individual[""category""]

    return category",category,Automotive,Automotive
What's the country of origin of the oldest billionaire?,What is the country of the billionaire with the maximum age?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_age_individual = dataset.loc[dataset[""age""] == dataset[""age""].max()]
    country = max_age_individual[""country""].iloc[0]

    return country",category,United States,United States
What's the gender of the billionaire with the highest philanthropy score?,What is the gender of the billionaire who has the maximum philanthropy score?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_philanthropy_individual = dataset.loc[dataset[""philanthropyScore""] == dataset[""philanthropyScore""].max()]
    gender = max_philanthropy_individual[""gender""].iloc[0]

    return gender",category,M,M
