Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
Is the person with the highest net worth self-made?,Is the individual listed with the highest finalWorth also marked as self-made in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    max_worth_individual = db.loc[db[""finalWorth""] == db[""finalWorth""].max()]
    is_self_made = max_worth_individual[""selfMade""].bool()

    return is_self_made
",bool,TRUE,TRUE
Does the youngest billionaire identify as male?,,,,ERROR,TRUE
Is the city with the most billionaires in the United States?,,,,ERROR,TRUE
Is there a non-self-made billionaire in the top 5 ranks?,Are there any non-self-made billionaires ranked in the top 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter for billionaires and top 5 rankings
    billionaires_top_5 = dataset[(dataset['selfMade'] == False) & (dataset['rank'] <= 5)]
    
    # Check if there are any such individuals
    result = not billionaires_top_5.empty
    
    return result
",bool,TRUE,TRUE
Does the oldest billionaire have a philanthropy score of 5?,Is the billionaire with the highest age having a philanthropy score of 5?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to get the row with the maximum age
    max_age_billionaire = db.loc[db[""age""] == db[""age""].max()]
    
    # Check if the philanthropy score of this individual is 5
    is_philanthropy_score_5 = max_age_billionaire[""philanthropyScore""].eq(5).bool()
    
    return is_philanthropy_score_5
",bool,FALSE,FALSE
What is the age of the youngest billionaire?,What is the age of the youngest individual listed in the Forbes dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the minimum age value
    min_age = dataset[""age""].min()
    
    return min_age
",float64,19,19
How many billionaires are there from the 'Technology' category?,How many entries in the dataset have a category value of 'Technology'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    count_entries = dataset[dataset[""category""] == ""Technology""].shape[0]
    
    return count_entries
",uint32,343,343
What's the total worth of billionaires in the 'Automotive' category?,What is the aggregate final worth of all billionaires categorized as 'Automotive'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only those with category 'Automotive'
    automotive_billionaires = dataset[dataset['category'] == 'Automotive']
    
    # Sum up the final worth of all rows in the filtered dataset
    aggregate_final_worth = automotive_billionaires['finalWorth'].sum()
    
    return aggregate_final_worth
",uint32,583600,583600
How many billionaires have a philanthropy score above 3?,What is the count of billionaires with a philanthropy score greater than 3?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    count_billionaires = dataset[(dataset['finalWorth'] > 1e+09) & (dataset['philanthropyScore'] > 3)].shape[0]
    return count_billionaires
",int64,0,25
What's the rank of the wealthiest non-self-made billionaire?,What is the rank of the billionaire with the highest final worth who is not self-made?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter out billionaires who are not self-made
    not_self_made_billionaires = dataset[dataset[""selfMade""] == False]
    
    # Find the one with the highest final worth
    max_worth_individual = not_self_made_billionaires.loc[not_self_made_billionaires[""finalWorth""].idxmax()]
    
    # Return the rank of this individual
    answer = max_worth_individual[""rank""]
    
    return answer
",uint16,3,3
Which category does the richest billionaire belong to?,Into which category does the billionaire with the highest finalWorth fall?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_worth_individual = dataset.loc[dataset[""finalWorth""] == dataset[""finalWorth""].max()]
    category_of_rich_person = max_worth_individual[""category""].values[0]

    return category_of_rich_person
",category,Automotive,Automotive
